RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,FAIRWAYS_HIT,POSSIBLE_FAIRWAYS,YEAR
1,,Henrik Stenson,60,75.19,591,786,Y2018
2,,Ryan Armour,109,73.58,"1,103","1,499",Y2018
3,,Chez Reavie,93,72.24,869,"1,203",Y2018
4,,Ryan Moore,78,71.94,787,"1,094",Y2018
5,,Brian Stuard,103,71.44,968,"1,355",Y2018
6,,Brian Gay,103,71.37,"1,007","1,411",Y2018
7,,Kyle Stanley,93,71.29,884,"1,240",Y2018
8,,Emiliano Grillo,94,70.16,905,"1,290",Y2018
9,,Russell Henley,77,70.03,729,"1,041",Y2018
10,,Jim Furyk,50,69.91,467,668,Y2018
11,,Steve Wheatcroft,60,69.79,566,811,Y2018
12,,Kevin Streelman,94,69.11,888,"1,285",Y2018
13,,C.T. Pan,104,68.98,945,"1,370",Y2018
14,,David Lingmerth,82,68.93,750,"1,088",Y2018
15,,Keegan Bradley,98,67.9,884,"1,302",Y2018
16,,Rafa Cabrera Bello,75,67.85,667,983,Y2018
17,,Billy Horschel,86,67.8,779,"1,149",Y2018
18,,Russell Knox,94,67.7,851,"1,257",Y2018
19,,Ben Crane,65,67.52,557,825,Y2018
20,,Vaughn Taylor,83,67.51,746,"1,105",Y2018
21,,Brian Harman,94,67.14,850,"1,266",Y2018
22,,Sam Ryder,82,66.91,746,"1,115",Y2018
23,,"Ted Potter, Jr.",87,66.83,812,"1,215",Y2018
24,,Austin Cook,107,66.76,"1,002","1,501",Y2018
25,,Tyler Duncan,97,66.74,867,"1,299",Y2018
26,,David Hearn,66,66.63,559,839,Y2018
27,,Alex Cejka,77,66.49,639,961,Y2018
28,,Ian Poulter,73,66.41,595,896,Y2018
29,,Joel Dahmen,93,66.36,789,"1,189",Y2018
30,,Kevin Kisner,89,66.33,729,"1,099",Y2018
31,,J.J. Henry,81,66.22,692,"1,045",Y2018
32,,J.J. Spaun,85,66.18,732,"1,106",Y2018
33,,Justin Rose,70,66.02,610,924,Y2018
34,,Kelly Kraft,94,65.84,846,"1,285",Y2018
35,,Conrad Shindler,60,65.77,515,783,Y2018
36,,Scott Piercy,84,65.68,735,"1,119",Y2018
37,,Adam Hadwin,92,65.6,820,"1,250",Y2018
38,,Ben Silverman,90,65.56,769,"1,173",Y2018
39,,Satoshi Kodaira,51,65.53,443,676,Y2018
T40,,Rickie Fowler,74,65.33,682,"1,044",Y2018
T40,,Xinjun Zhang,81,65.33,684,"1,047",Y2018
42,,Kiradech Aphibarnrat,51,65.12,422,648,Y2018
43,,Pat Perez,82,65.09,688,"1,057",Y2018
T44,,Lucas Glover,65,65.06,553,850,Y2018
T44,,Richy Werenski,98,65.06,836,"1,285",Y2018
