RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,AVG,TOTAL_DISTANCE,TOTAL_DRIVES,YEAR
1,,Rory McIlroy,64,319.7,"39,000",122,Y2018
2,,Trey Mullinax,75,318.3,"43,929",138,Y2018
3,,Tom Lovelady,87,315.9,"51,168",162,Y2018
4,,Tony Finau,105,315.1,"56,721",180,Y2018
5,,Luke List,98,314.6,"54,746",174,Y2018
6,,Dustin Johnson,77,314,"43,953",140,Y2018
7,,Gary Woodland,96,313.5,"52,042",166,Y2018
8,,Brooks Koepka,64,313.4,"36,350",116,Y2018
9,,Bubba Watson,90,313.1,"49,470",158,Y2018
10,,Keith Mitchell,99,312.6,"60,646",194,Y2018
11,,Justin Thomas,91,311.8,"46,153",148,Y2018
12,,Brendan Steele,74,310.3,"39,103",126,Y2018
13,,Kevin Tway,110,310.1,"59,535",192,Y2018
14,,Jason Day,75,310,"37,195",120,Y2018
15,,Jason Kokrak,99,309.5,"61,277",198,Y2018
16,,Jon Rahm,71,308.9,"38,298",124,Y2018
17,,Kevin Chappell,77,308.6,"45,670",148,Y2018
18,,Harold Varner III,91,308.2,"49,935",162,Y2018
T19,,Byeong Hun An,86,307.9,"49,257",160,Y2018
T19,,Robert Garrigus,80,307.9,"46,803",152,Y2018
21,,Nick Watney,94,307.5,"55,353",180,Y2018
22,,Grayson Murray,72,307.3,"39,331",128,Y2018
23,,Tommy Fleetwood,73,306.9,"38,059",124,Y2018
24,,J.B. Holmes,77,306.1,"43,466",142,Y2018
25,,Bryson DeChambeau,93,305.7,"56,854",186,Y2018
26,,Adam Schenk,86,305.5,"48,881",160,Y2018
27,,Ryan Palmer,69,305.2,"38,459",126,Y2018
28,,Xander Schauffele,96,304.9,"49,388",162,Y2018
29,,Adam Scott,78,304.6,"42,649",140,Y2018
30,,Matt Jones,70,304.5,"37,757",124,Y2018
31,,Paul Casey,74,304.3,"35,909",118,Y2018
T32,,Jhonattan Vegas,92,303.6,"46,756",154,Y2018
T32,,Tiger Woods,68,303.6,"41,286",136,Y2018
T34,,Patrick Rodgers,97,303.5,"51,601",170,Y2018
T34,,Justin Rose,70,303.5,"37,630",124,Y2018
36,,Corey Conners,97,303.3,"56,421",186,Y2018
37,,Jamie Lovemark,92,303.2,"48,514",160,Y2018
T38,,Patrick Cantlay,87,303.1,"46,078",152,Y2018
T38,,Brandon Harkins,101,303.1,"57,591",190,Y2018
40,,Aaron Wise,90,302.9,"53,314",176,Y2018
T41,,Bronson Burgoon,69,302.8,"41,785",138,Y2018
