RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Wesley Bryan,69,"15' 7""",764.667,49,-14,Y2018
2,,Zac Blair,64,"15' 10""",1155.67,73,-20,Y2018
3,,Kevin Na,91,"16' 2""",1521.92,94,-30,Y2018
4,,Kyle Thompson,50,"16' 5""",1213.75,74,-12,Y2018
5,,Ryan Armour,109,"16' 7""",2847.67,172,-44,Y2018
T6,,Alex Cejka,77,"16' 8""",1452.92,87,-12,Y2018
T6,,Sam Ryder,82,"16' 8""",1915.08,115,-27,Y2018
8,,John Huh,94,"16' 9""",1575.83,94,-18,Y2018
T9,,Fabián Gómez,88,"17' 0""",1838.75,108,-17,Y2018
T9,,Robert Streb,78,"17' 0""",1189.42,70,-14,Y2018
11,,Chris Stroud,81,"17' 1""",1178.17,69,-19,Y2018
12,,Keegan Bradley,98,"17' 3""",1758.5,102,-9,Y2018
T13,,Corey Conners,97,"17' 4""",2670.58,154,-33,Y2018
T13,,Webb Simpson,95,"17' 4""",2325.5,134,-33,Y2018
T15,,Rory McIlroy,64,"17' 5""",1392.08,80,-21,Y2018
T15,,Vaughn Taylor,83,"17' 5""",1842.08,106,-31,Y2018
17,,Hideki Matsuyama,75,"17' 6""",1154.33,66,-22,Y2018
T18,,Martin Flores,92,"17' 9""",2062.83,116,-24,Y2018
T18,,Billy Horschel,86,"17' 9""",2009.25,113,-29,Y2018
T18,,Charles Howell III,104,"17' 9""",2005.58,113,-36,Y2018
T18,,Mackenzie Hughes,80,"17' 9""",1951.17,110,-16,Y2018
T18,,Anirban Lahiri,82,"17' 9""",1689.67,95,-19,Y2018
T18,,Cameron Percy,56,"17' 9""",1384.92,78,-14,Y2018
T24,,Dustin Johnson,77,"17' 10""",1857.92,104,-33,Y2018
T24,,Whee Kim,93,"17' 10""",1870.33,105,-22,Y2018
26,,Tiger Woods,68,"17' 11""",1346.58,75,-21,Y2018
T27,,Aaron Baddeley,84,"18' 0""",1801.92,100,-20,Y2018
T27,,Jim Furyk,50,"18' 0""",1563.75,87,-11,Y2018
T27,,David Lingmerth,82,"18' 0""",1891,105,-20,Y2018
T27,,Brandt Snedeker,84,"18' 0""",2229.5,124,-32,Y2018
31,,Ethan Tracy,72,"18' 1""",1445.08,80,-22,Y2018
T32,,Kiradech Aphibarnrat,51,"18' 2""",781.917,43,-8,Y2018
T32,,Daniel Berger,81,"18' 2""",1255.75,69,-10,Y2018
T32,,Rod Pampling,62,"18' 2""",1488.67,82,1,Y2018
T32,,Kevin Streelman,94,"18' 2""",2584.5,142,-16,Y2018
T36,,Rafa Cabrera Bello,75,"18' 3""",1423.67,78,-13,Y2018
T36,,Chesson Hadley,103,"18' 3""",3041,167,-35,Y2018
T36,,Brooks Koepka,64,"18' 3""",1479.42,81,-19,Y2018
T39,,Ryan Palmer,69,"18' 4""",1577.25,86,-15,Y2018
T39,,Ian Poulter,73,"18' 4""",1281.42,70,-16,Y2018
T39,,Steve Wheatcroft,60,"18' 4""",1392.33,76,-11,Y2018
T42,,Dominic Bozzelli,65,"18' 5""",1457.17,79,-24,Y2018
T42,,Russell Knox,94,"18' 5""",2206.25,120,-15,Y2018
T42,,C.T. Pan,104,"18' 5""",1970.42,107,-25,Y2018
T42,,Jimmy Walker,81,"18' 5""",1364.5,74,-15,Y2018
T42,,Andrew Yun,51,"18' 5""",1070.08,58,1,Y2018
T47,,Francesco Molinari,73,"18' 6""",1629.92,88,-20,Y2018
T47,,Tyrone Van Aswegen,101,"18' 6""",2373.17,128,-8,Y2018
49,,Ryan Moore,78,"18' 7""",1711.58,92,-21,Y2018
T50,,Andrew Landry,82,"18' 8""",2430.92,130,-24,Y2018
T50,,Andrew Putnam,97,"18' 8""",1943.75,104,-21,Y2018
T52,,Stewart Cink,87,"18' 9""",1945.83,104,-9,Y2018
T52,,Phil Mickelson,90,"18' 9""",1480.17,79,-20,Y2018
T52,,Louis Oosthuizen,62,"18' 9""",1328.5,71,-8,Y2018
T55,,Abraham Ancer,98,"18' 10""",2466,131,-23,Y2018
T55,,Brian Gay,103,"18' 10""",2337.08,124,-24,Y2018
T55,,David Hearn,66,"18' 10""",2033.08,108,-15,Y2018
T55,,Chris Kirk,108,"18' 10""",2773.08,147,-30,Y2018
T55,,Satoshi Kodaira,51,"18' 10""",1053.83,56,3,Y2018
T55,,William McGirt,84,"18' 10""",1973.33,105,-18,Y2018
T61,,Ryan Blaum,81,"18' 11""",1987.5,105,-21,Y2018
T61,,Robert Garrigus,80,"18' 11""",2360.42,125,-19,Y2018
T61,,Matt Jones,70,"18' 11""",1643.08,87,-24,Y2018
T64,,Troy Merritt,89,"19' 0""",2219.83,117,-30,Y2018
T64,,Cameron Tringale,67,"19' 0""",1501.08,79,-15,Y2018
T66,,Brice Garnett,99,"19' 2""",2990.83,156,-29,Y2018
T66,,Ben Silverman,90,"19' 2""",2797.5,146,-26,Y2018
T66,,Nick Taylor,94,"19' 2""",2296.58,120,-16,Y2018
T69,,Peter Malnati,87,"19' 3""",2330.5,121,-30,Y2018
T69,,Sean O'Hair,67,"19' 3""",1832,95,-9,Y2018
T71,,Chad Campbell,87,"19' 4""",2322,120,-16,Y2018
T71,,Stephan Jaeger,81,"19' 4""",2026,105,-16,Y2018
T71,,Pat Perez,82,"19' 4""",1452.58,75,-6,Y2018
T71,,Gary Woodland,96,"19' 4""",2223.75,115,-20,Y2018
T75,,Kevin Chappell,77,"19' 5""",2075.5,107,-16,Y2018
T75,,Hunter Mahan,67,"19' 5""",2093.33,108,-26,Y2018
T75,,Ben Martin,64,"19' 5""",1631.75,84,-13,Y2018
T75,,Scott Piercy,84,"19' 5""",2113.67,109,-14,Y2018
T79,,Matt Kuchar,88,"19' 6""",1893.17,97,-10,Y2018
T79,,Luke List,98,"19' 6""",1891.42,97,-15,Y2018
T79,,Scott Stallings,96,"19' 6""",2010.33,103,-19,Y2018
T79,,Brian Stuard,103,"19' 6""",2888.25,148,-22,Y2018
T83,,Branden Grace,67,"19' 7""",1134.17,58,-12,Y2018
T83,,Emiliano Grillo,94,"19' 7""",1901.25,97,-11,Y2018
T83,,Beau Hossler,104,"19' 7""",3256.92,166,-23,Y2018
T83,,Rory Sabbatini,91,"19' 7""",2287.08,117,-22,Y2018
T83,,Kevin Tway,110,"19' 7""",2446.67,125,-22,Y2018
T88,,Roberto Díaz,72,"19' 8""",1298.33,66,-8,Y2018
T88,,Billy Hurley III,70,"19' 8""",1693.08,86,-13,Y2018
T88,,Sung Kang,89,"19' 8""",1689.42,86,-4,Y2018
T88,,Michael Kim,74,"19' 8""",1589.92,81,-14,Y2018
T88,,Xander Schauffele,96,"19' 8""",2223.75,113,-16,Y2018
T88,,Ollie Schniederjans,91,"19' 8""",1772.92,90,-15,Y2018
T88,,Johnson Wagner,75,"19' 8""",2049.5,104,-29,Y2018
T95,,Bryson DeChambeau,93,"19' 9""",2170.67,110,-28,Y2018
T95,,Derek Fathauer,84,"19' 9""",1734.58,88,-6,Y2018
T95,,Nicholas Lindheim,77,"19' 9""",1912.75,97,-12,Y2018
T95,,Jon Rahm,71,"19' 9""",1603,81,-18,Y2018
T99,,Scott Brown,102,"19' 10""",2403.58,121,-19,Y2018
T99,,Patrick Cantlay,87,"19' 10""",2277.92,115,-14,Y2018
T99,,Chez Reavie,93,"19' 10""",1784.92,90,-12,Y2018
T99,,Cameron Smith,85,"19' 10""",1646.58,83,-10,Y2018
T103,,Ricky Barnes,65,"19' 11""",1316.67,66,E,Y2018
T103,,Jordan Spieth,81,"19' 11""",1992.83,100,-15,Y2018
