RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,YEAR
1,,Johnson Wagner,75,"1' 7""",71,45,2,Y2018
2,,Cameron Smith,85,"1' 10""",59.667,32,38,Y2018
T3,,Stewart Cink,87,"1' 11""",75.083,40,152,Y2018
T3,,Kevin Na,91,"1' 11""",78.583,41,8,Y2018
T3,,Louis Oosthuizen,62,"1' 11""",66.417,34,3,Y2018
T6,,Blayne Barber,69,"2' 0""",67.167,34,114,Y2018
T6,,D.A. Points,63,"2' 0""",65.167,33,182,Y2018
T6,,Seamus Power,86,"2' 0""",103.833,52,7,Y2018
T9,,Keegan Bradley,98,"2' 1""",110.917,53,131,Y2018
T9,,Alex Cejka,77,"2' 1""",75.5,36,6,Y2018
T9,,Mackenzie Hughes,80,"2' 1""",81.333,39,177,Y2018
T9,,David Lingmerth,82,"2' 1""",89.333,43,86,Y2018
T9,,Justin Rose,70,"2' 1""",67.833,33,15,Y2018
T9,,Robert Streb,78,"2' 1""",91.167,43,184,Y2018
T9,,Daniel Summerhays,51,"2' 1""",62.417,30,167,Y2018
T9,,Steve Wheatcroft,60,"2' 1""",52.333,25,42,Y2018
T17,,Hunter Mahan,67,"2' 2""",77.25,35,80,Y2018
T17,,Ryan Moore,78,"2' 2""",82.75,38,4,Y2018
T19,,Bud Cauley,55,"2' 3""",68.833,31,56,Y2018
T19,,Austin Cook,107,"2' 3""",141.167,63,28,Y2018
T19,,Brice Garnett,99,"2' 3""",117.667,52,83,Y2018
T19,,Danny Lee,88,"2' 3""",96.333,43,46,Y2018
T19,,Graeme McDowell,67,"2' 3""",74.75,33,61,Y2018
T19,,Rory McIlroy,64,"2' 3""",82.333,36,17,Y2018
T19,,Conrad Shindler,60,"2' 3""",73,32,58,Y2018
T19,,Justin Thomas,91,"2' 3""",100.75,45,24,Y2018
T27,,Patrick Cantlay,87,"2' 4""",86.083,37,109,Y2018
T27,,Ben Martin,64,"2' 4""",75.75,32,81,Y2018
T27,,Phil Mickelson,90,"2' 4""",99.5,43,91,Y2018
T27,,Keith Mitchell,99,"2' 4""",107.583,46,137,Y2018
T27,,Chez Reavie,93,"2' 4""",109.083,46,27,Y2018
T27,,Kevin Streelman,94,"2' 4""",87.333,38,43,Y2018
T27,,Hudson Swafford,73,"2' 4""",72.167,31,179,Y2018
T27,,Kevin Tway,110,"2' 4""",157.917,67,132,Y2018
T27,,Peter Uihlein,83,"2' 4""",80.917,35,102,Y2018
T36,,Byeong Hun An,86,"2' 5""",99.75,41,37,Y2018
T36,,Kiradech Aphibarnrat,51,"2' 5""",60.333,25,157,Y2018
T36,,Zac Blair,64,"2' 5""",77.083,32,33,Y2018
T36,,J.J. Henry,81,"2' 5""",84,35,171,Y2018
T36,,Ian Poulter,73,"2' 5""",69.5,29,123,Y2018
T36,,Rory Sabbatini,91,"2' 5""",115,47,35,Y2018
T36,,Brandt Snedeker,84,"2' 5""",103,42,57,Y2018
T36,,Xinjun Zhang,81,"2' 5""",77.833,32,95,Y2018
T44,,Branden Grace,67,"2' 6""",57.583,23,105,Y2018
T44,,Russell Henley,77,"2' 6""",73.917,30,175,Y2018
T44,,Brooks Koepka,64,"2' 6""",79.167,32,12,Y2018
T44,,Marc Leishman,93,"2' 6""",118.833,47,75,Y2018
T44,,Alex Noren,67,"2' 6""",76.417,31,30,Y2018
T44,,Rod Pampling,62,"2' 6""",83.833,33,134,Y2018
T44,,Sam Saunders,80,"2' 6""",121.583,48,147,Y2018
