RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,YEAR
1,,Wesley Bryan,69,4.833333333,6.962,120,53,Y2018
2,,Tiger Woods,68,5,7.348,123,4,Y2018
3,,Kevin Na,91,5.083333333,10.307,170,8,Y2018
4,,Jamie Lovemark,92,5.416666667,12.387,192,40,Y2018
T5,,Tyrrell Hatton,58,5.583333333,5.52,83,21,Y2018
T5,,Webb Simpson,95,5.583333333,9.584,142,1,Y2018
T5,,Justin Thomas,91,5.583333333,10.977,164,24,Y2018
T8,,Martin Laird,73,5.666666667,11.285,165,73,Y2018
T8,,Ryan Moore,78,5.666666667,10.421,154,4,Y2018
T8,,Rob Oppenheim,74,5.666666667,7.923,116,68,Y2018
T11,,Bud Cauley,55,5.75,6.698,97,56,Y2018
T11,,Tony Finau,105,5.75,11.281,164,119,Y2018
T11,,Jim Furyk,50,5.75,6.125,89,21,Y2018
T11,,Jordan Spieth,81,5.75,9.666,140,31,Y2018
T15,,Nate Lashley,51,5.833333333,4.744,68,49,Y2018
T15,,Danny Lee,88,5.833333333,11.125,158,46,Y2018
T15,,Kevin Streelman,94,5.833333333,12.237,176,43,Y2018
T18,,Zach Johnson,94,5.916666667,10.829,153,25,Y2018
T18,,Matt Jones,70,5.916666667,7.837,111,54,Y2018
T18,,Brooks Koepka,64,5.916666667,8.741,123,12,Y2018
T21,,Ricky Barnes,65,6,7.76,108,115,Y2018
T21,,J.B. Holmes,77,6,11.053,153,122,Y2018
T21,,Stephan Jaeger,81,6,9.415,130,133,Y2018
T24,,Lucas Glover,65,6.083333333,7.823,107,64,Y2018
T24,,Bill Haas,76,6.083333333,11.723,160,51,Y2018
T24,,Si Woo Kim,108,6.083333333,13.031,178,118,Y2018
T24,,William McGirt,84,6.083333333,11.961,164,19,Y2018
T28,,Zac Blair,64,6.166666667,7.849,106,33,Y2018
T28,,Joel Dahmen,93,6.166666667,10.759,145,11,Y2018
T28,,Chris Kirk,108,6.166666667,13.685,186,10,Y2018
T28,,"Ted Potter, Jr.",87,6.166666667,14.255,192,113,Y2018
T28,,Charl Schwartzel,65,6.166666667,7.394,100,101,Y2018
T33,,Kiradech Aphibarnrat,51,6.25,5.189,69,157,Y2018
T33,,Ryan Armour,109,6.25,14.31,192,55,Y2018
T33,,Aaron Baddeley,84,6.25,12.872,171,39,Y2018
T33,,Harris English,84,6.25,13.119,174,103,Y2018
T33,,Rickie Fowler,74,6.25,7.991,107,14,Y2018
T33,,Brice Garnett,99,6.25,13.521,180,83,Y2018
T33,,Russell Knox,94,6.25,12.991,174,70,Y2018
T33,,Jason Kokrak,99,6.25,15,200,162,Y2018
T33,,Matt Kuchar,88,6.25,10.068,135,9,Y2018
T33,,Hideki Matsuyama,75,6.25,10.379,139,47,Y2018
T33,,Andrew Putnam,97,6.25,11.353,152,32,Y2018
T44,,Blayne Barber,69,6.333333333,8.539,112,114,Y2018
T44,,Tyler Duncan,97,6.333333333,12.905,170,186,Y2018
T44,,Justin Rose,70,6.333333333,7.285,96,15,Y2018
T44,,Kevin Tway,110,6.333333333,16.73,220,132,Y2018
T48,,Keegan Bradley,98,6.416666667,12.613,164,131,Y2018
T48,,Alex Cejka,77,6.416666667,9.608,125,6,Y2018
T48,,Stewart Cink,87,6.416666667,9.442,123,152,Y2018
T48,,Jason Day,75,6.416666667,8.508,110,25,Y2018
T48,,Dustin Johnson,77,6.416666667,10.732,140,23,Y2018
T48,,David Lingmerth,82,6.416666667,12.129,158,86,Y2018
T48,,Patrick Reed,94,6.416666667,10.362,134,18,Y2018
T55,,Ryan Blaum,81,6.5,13.652,174,158,Y2018
T55,,J.J. Henry,81,6.5,10.312,133,171,Y2018
T55,,Grayson Murray,72,6.5,11.015,141,176,Y2018
T55,,Ollie Schniederjans,91,6.5,13.6,174,126,Y2018
T55,,Adam Scott,78,6.5,9.087,117,168,Y2018
T55,,Cameron Smith,85,6.5,12.394,159,38,Y2018
T55,,Harold Varner III,91,6.5,12.573,162,96,Y2018
T62,,Marc Leishman,93,6.583333333,14.811,187,75,Y2018
T62,,Xander Schauffele,96,6.583333333,13.884,176,104,Y2018
T62,,Chris Stroud,81,6.583333333,12.184,154,60,Y2018
T62,,Richy Werenski,98,6.583333333,13.895,177,138,Y2018
T66,,Jonathan Byrd,70,6.666666667,8.354,105,93,Y2018
T66,,Paul Casey,74,6.666666667,11.133,140,50,Y2018
T66,,Charley Hoffman,87,6.666666667,12.743,160,143,Y2018
T66,,Ryan Palmer,69,6.666666667,10.7,134,159,Y2018
T66,,Jon Rahm,71,6.666666667,7.033,88,121,Y2018
T66,,Nick Taylor,94,6.666666667,15.584,194,29,Y2018
T66,,Cameron Tringale,67,6.666666667,8.183,102,160,Y2018
T73,,Chad Campbell,87,6.75,11.855,147,71,Y2018
T73,,Matt Every,79,6.75,11.54,142,188,Y2018
T73,,Brian Gay,103,6.75,19.176,237,13,Y2018
T73,,James Hahn,85,6.75,12.486,155,67,Y2018
T73,,Tom Hoge,101,6.75,16.032,197,34,Y2018
T73,,Luke List,98,6.75,13.985,173,90,Y2018
T73,,Francesco Molinari,73,6.75,11.491,142,82,Y2018
T73,,Peter Uihlein,83,6.75,12.446,153,102,Y2018
T81,,Dominic Bozzelli,65,6.833333333,13.767,167,78,Y2018
T81,,Patrick Cantlay,87,6.833333333,12.237,149,109,Y2018
T81,,Brian Harman,94,6.833333333,14.947,182,126,Y2018
T81,,John Huh,94,6.833333333,17.522,213,100,Y2018
T81,,Billy Hurley III,70,6.833333333,11.658,142,164,Y2018
T81,,Nicholas Lindheim,77,6.833333333,10.63,129,180,Y2018
T81,,Ben Martin,64,6.833333333,12.989,159,81,Y2018
T81,,Rory McIlroy,64,6.833333333,7.997,98,17,Y2018
T81,,Phil Mickelson,90,6.833333333,11.74,144,91,Y2018
T81,,Keith Mitchell,99,6.833333333,16.435,200,137,Y2018
T81,,Louis Oosthuizen,62,6.833333333,6.269,76,3,Y2018
T81,,C.T. Pan,104,6.833333333,14.646,179,128,Y2018
T81,,Ian Poulter,73,6.833333333,9.814,120,123,Y2018
T81,,Jimmy Walker,81,6.833333333,12.358,150,74,Y2018
T95,,Byeong Hun An,86,6.916666667,14.98,180,37,Y2018
T95,,Bryson DeChambeau,93,6.916666667,13.8,167,63,Y2018
T95,,Jason Dufner,71,6.916666667,9.78,118,94,Y2018
T95,,Martin Flores,92,6.916666667,12.074,145,165,Y2018
T95,,Kelly Kraft,94,6.916666667,15.053,182,77,Y2018
T95,,Patrick Rodgers,97,6.916666667,14.885,180,119,Y2018
T95,,Rory Sabbatini,91,6.916666667,12.698,153,35,Y2018
T95,,Brandt Snedeker,84,6.916666667,12.805,154,57,Y2018
T95,,Henrik Stenson,60,6.916666667,8.025,97,48,Y2018
T95,,Johnson Wagner,75,6.916666667,10.085,122,2,Y2018
T95,,Gary Woodland,96,6.916666667,10.348,124,173,Y2018
T106,,Robert Garrigus,80,7,13.345,158,129,Y2018
T106,,Billy Horschel,86,7,14.547,173,98,Y2018
T106,,Charles Howell III,104,7,13.681,163,44,Y2018
T106,,Peter Malnati,87,7,15.986,191,36,Y2018
T106,,Jonathan Randolph,71,7,13.342,159,64,Y2018
T111,,Kevin Chappell,77,7.083333333,12.277,144,141,Y2018
T111,,Derek Fathauer,84,7.083333333,14.96,176,163,Y2018
T111,,Talor Gooch,78,7.083333333,13.547,160,69,Y2018
T111,,Branden Grace,67,7.083333333,8.689,102,105,Y2018
T111,,Sung Kang,89,7.083333333,13.653,161,189,Y2018
T111,,Martin Piller,79,7.083333333,14.242,168,106,Y2018
T111,,Chez Reavie,93,7.083333333,10.982,129,27,Y2018
T111,,Brian Stuard,103,7.083333333,14.847,175,72,Y2018
T111,,Xinjun Zhang,81,7.083333333,11.181,131,95,Y2018
T120,,Daniel Berger,81,7.166666667,13.537,158,76,Y2018
T120,,Roberto Díaz,72,7.166666667,11.693,136,87,Y2018
T120,,Mackenzie Hughes,80,7.166666667,13.208,153,177,Y2018
T120,,Kevin Kisner,89,7.166666667,12.403,144,52,Y2018
T120,,Shane Lowry,64,7.166666667,9.437,110,181,Y2018
T120,,Denny McCarthy,71,7.166666667,9.766,114,64,Y2018
T120,,Pat Perez,82,7.166666667,9.315,108,155,Y2018
T120,,J.T. Poston,73,7.166666667,10.592,123,111,Y2018
T120,,Conrad Shindler,60,7.166666667,8.766,102,58,Y2018
T120,,Kyle Stanley,93,7.166666667,10.141,118,169,Y2018
T120,,Ethan Tracy,72,7.166666667,9.851,115,166,Y2018
T131,,Austin Cook,107,7.25,18.866,217,28,Y2018
T131,,Retief Goosen,60,7.25,8.344,96,124,Y2018
T131,,Lanto Griffin,80,7.25,11.415,131,150,Y2018
T131,,Michael Kim,74,7.25,12.221,140,144,Y2018
T131,,Seamus Power,86,7.25,14.135,163,7,Y2018
T131,,Ben Silverman,90,7.25,16.661,192,116,Y2018
T131,,Scott Stallings,96,7.25,17.781,204,45,Y2018
T131,,Hudson Swafford,73,7.25,10.49,120,179,Y2018
T139,,Jonas Blixt,67,7.333333333,12.726,144,130,Y2018
T139,,Chesson Hadley,103,7.333333333,17.057,193,136,Y2018
T139,,Andrew Landry,82,7.333333333,13.4,153,125,Y2018
T139,,Daniel Summerhays,51,7.333333333,9.087,103,167,Y2018
T139,,Vaughn Taylor,83,7.333333333,13.402,152,62,Y2018
T139,,Michael Thompson,62,7.333333333,9.998,114,148,Y2018
T145,,Scott Brown,102,7.416666667,16.512,186,170,Y2018
T145,,Rafa Cabrera Bello,75,7.416666667,9.433,106,99,Y2018
T145,,Brandon Harkins,101,7.416666667,18.077,203,146,Y2018
T145,,David Hearn,66,7.416666667,8.223,92,154,Y2018
T145,,Patton Kizzire,92,7.416666667,12.518,141,160,Y2018
T145,,Anirban Lahiri,82,7.416666667,14.337,162,92,Y2018
T145,,Graeme McDowell,67,7.416666667,11.687,132,61,Y2018
T145,,Troy Merritt,89,7.416666667,15.27,171,107,Y2018
T145,,Rod Pampling,62,7.416666667,10.93,123,134,Y2018
T145,,Sam Ryder,82,7.416666667,11.358,127,139,Y2018
T145,,Adam Schenk,86,7.416666667,13.32,149,172,Y2018
