RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,YEAR
1,,Ryan Moore,78,"6' 0""",903.75,150,4,Y2018
T2,,Paul Casey,74,"6' 4""",767.917,122,50,Y2018
T2,,Zach Johnson,94,"6' 4""",896.583,141,25,Y2018
T4,,Jim Furyk,50,"6' 5""",764.833,119,21,Y2018
T4,,Rory McIlroy,64,"6' 5""",933,146,17,Y2018
T6,,Cameron Percy,56,"6' 6""",614.417,94,117,Y2018
T6,,Tiger Woods,68,"6' 6""",900.833,139,4,Y2018
T8,,Retief Goosen,60,"6' 7""",700.667,106,124,Y2018
T8,,Johnson Wagner,75,"6' 7""",788.583,120,2,Y2018
10,,Chris Kirk,108,"6' 8""",1412.583,211,10,Y2018
T11,,Kiradech Aphibarnrat,51,"6' 9""",630.75,93,157,Y2018
T11,,David Hearn,66,"6' 9""",745.167,111,154,Y2018
T11,,Louis Oosthuizen,62,"6' 9""",797.75,118,3,Y2018
T14,,Branden Grace,67,"6' 10""",809,118,105,Y2018
T14,,Conrad Shindler,60,"6' 10""",644.917,94,58,Y2018
16,,Justin Rose,70,"6' 11""",862.75,125,15,Y2018
T17,,Austin Cook,107,"7' 1""",1608,227,28,Y2018
T17,,Tyrrell Hatton,58,"7' 1""",711.333,101,21,Y2018
T17,,Peter Malnati,87,"7' 1""",1414.333,199,36,Y2018
T17,,"Ted Potter, Jr.",87,"7' 1""",1438,204,113,Y2018
T17,,Jon Rahm,71,"7' 1""",977.25,138,121,Y2018
T22,,Byeong Hun An,86,"7' 2""",1279.667,178,37,Y2018
T22,,Lucas Glover,65,"7' 2""",766.25,107,64,Y2018
T22,,Adam Hadwin,92,"7' 2""",1098.917,154,85,Y2018
T22,,Shawn Stefani,76,"7' 2""",927,129,89,Y2018
T22,,Vaughn Taylor,83,"7' 2""",942,131,62,Y2018
T22,,Jimmy Walker,81,"7' 2""",1280.917,179,74,Y2018
T22,,Richy Werenski,98,"7' 2""",1267.833,176,138,Y2018
T29,,Daniel Berger,81,"7' 3""",1046.417,145,76,Y2018
T29,,Ryan Blaum,81,"7' 3""",1265.25,175,158,Y2018
T29,,Alex Cejka,77,"7' 3""",1293.833,178,6,Y2018
T29,,Roberto Díaz,72,"7' 3""",1017,140,87,Y2018
T29,,Tony Finau,105,"7' 3""",1371.167,189,119,Y2018
T29,,Jordan Spieth,81,"7' 3""",1143.5,158,31,Y2018
T35,,Ryan Armour,109,"7' 4""",1408.25,193,55,Y2018
T35,,Wesley Bryan,69,"7' 4""",948.833,129,53,Y2018
T35,,Stephan Jaeger,81,"7' 4""",1156.167,157,133,Y2018
T35,,Grayson Murray,72,"7' 4""",1242.833,170,176,Y2018
T35,,Jhonattan Vegas,92,"7' 4""",1595,217,84,Y2018
T40,,Bud Cauley,55,"7' 5""",814.5,110,56,Y2018
T40,,Michael Kim,74,"7' 5""",1117.5,150,144,Y2018
T40,,Kevin Kisner,89,"7' 5""",1207.167,162,52,Y2018
