RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,YEAR
1,,Louis Oosthuizen,62,"6' 6""",581.583,89,3,Y2018
T2,,Alex Cejka,77,"7' 4""",769.583,105,6,Y2018
T2,,Webb Simpson,95,"7' 4""",867.083,118,1,Y2018
4,,Bud Cauley,55,"7' 6""",564.667,75,56,Y2018
5,,Zac Blair,64,"7' 7""",517.667,68,33,Y2018
6,,Ben Crane,65,"7' 8""",559.25,73,16,Y2018
T7,,Danny Lee,88,"7' 9""",1022.833,132,46,Y2018
T7,,D.A. Points,63,"7' 9""",658,85,182,Y2018
9,,Matt Kuchar,88,"7' 10""",932.833,119,9,Y2018
T10,,Jonas Blixt,67,"7' 11""",553.75,70,130,Y2018
T10,,Brooks Koepka,64,"7' 11""",588.25,74,12,Y2018
T12,,Jason Day,75,"8' 0""",798.667,100,25,Y2018
T12,,Henrik Stenson,60,"8' 0""",393.5,49,48,Y2018
T12,,Kyle Thompson,50,"8' 0""",407.5,51,178,Y2018
15,,Aaron Baddeley,84,"8' 1""",926.5,115,39,Y2018
16,,Cameron Smith,85,"8' 2""",934.5,115,38,Y2018
T17,,Si Woo Kim,108,"8' 3""",1176.667,143,118,Y2018
T17,,Rory Sabbatini,91,"8' 3""",1261,153,35,Y2018
T17,,Justin Thomas,91,"8' 3""",815.583,99,24,Y2018
T20,,Wesley Bryan,69,"8' 4""",714.083,86,53,Y2018
T20,,Jonathan Byrd,70,"8' 4""",567.917,68,93,Y2018
T20,,Billy Hurley III,70,"8' 4""",651.833,78,164,Y2018
T20,,Patrick Reed,94,"8' 4""",981.75,118,18,Y2018
T24,,Talor Gooch,78,"8' 5""",881.083,105,69,Y2018
T24,,Adam Hadwin,92,"8' 5""",914.333,109,85,Y2018
T24,,Chris Kirk,108,"8' 5""",1269.5,151,10,Y2018
T24,,Phil Mickelson,90,"8' 5""",975.083,116,91,Y2018
T24,,Kevin Na,91,"8' 5""",856.167,102,8,Y2018
T24,,Seamus Power,86,"8' 5""",804.25,96,7,Y2018
T30,,J.B. Holmes,77,"8' 6""",991.75,117,122,Y2018
T30,,Anirban Lahiri,82,"8' 6""",1070.333,126,92,Y2018
T30,,Rob Oppenheim,74,"8' 6""",733.25,86,68,Y2018
T33,,Matt Atkins,56,"8' 7""",540.417,63,107,Y2018
T33,,Stewart Cink,87,"8' 7""",767.25,89,152,Y2018
T33,,Tyrrell Hatton,58,"8' 7""",534.167,62,21,Y2018
T33,,Peter Malnati,87,"8' 7""",1094.75,128,36,Y2018
T33,,Sam Saunders,80,"8' 7""",992.333,116,147,Y2018
T33,,Nick Taylor,94,"8' 7""",807.417,94,29,Y2018
T39,,Abraham Ancer,98,"8' 8""",1243.917,143,20,Y2018
T39,,Rafa Cabrera Bello,75,"8' 8""",647.583,75,99,Y2018
T39,,Greg Chalmers,56,"8' 8""",750.417,87,185,Y2018
T39,,Rickie Fowler,74,"8' 8""",880.75,102,14,Y2018
T39,,Tom Hoge,101,"8' 8""",1018.5,118,34,Y2018
T39,,Chris Stroud,81,"8' 8""",910.25,105,60,Y2018
T45,,Cameron Percy,56,"8' 9""",465,53,117,Y2018
T45,,Andrew Yun,51,"8' 9""",351.333,40,193,Y2018
T47,,Tommy Fleetwood,73,"8' 10""",878.25,99,148,Y2018
T47,,Charley Hoffman,87,"8' 10""",950.417,108,143,Y2018
T47,,Luke List,98,"8' 10""",1169.833,133,90,Y2018
T47,,Ollie Schniederjans,91,"8' 10""",1216.75,138,126,Y2018
T47,,Adam Scott,78,"8' 10""",863.917,98,168,Y2018
T47,,Peter Uihlein,83,"8' 10""",822.333,93,102,Y2018
T53,,Emiliano Grillo,94,"8' 11""",1094.75,123,41,Y2018
T53,,Charles Howell III,104,"8' 11""",1137.167,127,44,Y2018
T53,,Rory McIlroy,64,"8' 11""",768.583,86,17,Y2018
T56,,Ryan Armour,109,"9' 0""",1292.333,143,55,Y2018
T56,,Ricky Barnes,65,"9' 0""",593.333,66,115,Y2018
T56,,Patrick Cantlay,87,"9' 0""",808,90,109,Y2018
T56,,Jason Dufner,71,"9' 0""",753.667,84,94,Y2018
T56,,Graeme McDowell,67,"9' 0""",631.083,70,61,Y2018
T56,,"Ted Potter, Jr.",87,"9' 0""",1126.833,125,113,Y2018
T56,,Justin Rose,70,"9' 0""",893.417,99,15,Y2018
T56,,Conrad Shindler,60,"9' 0""",551.333,61,58,Y2018
T56,,Tiger Woods,68,"9' 0""",792.5,88,4,Y2018
T65,,Fabián Gómez,88,"9' 1""",939.5,103,79,Y2018
T65,,Jamie Lovemark,92,"9' 1""",1299.5,143,40,Y2018
T65,,Andrew Putnam,97,"9' 1""",948.833,104,32,Y2018
T68,,Brian Gay,103,"9' 2""",1184.667,129,13,Y2018
T68,,Dustin Johnson,77,"9' 2""",633.333,69,23,Y2018
T68,,Kelly Kraft,94,"9' 2""",1116.75,122,77,Y2018
T68,,Tom Lovelady,87,"9' 2""",1009,110,190,Y2018
T68,,Sean O'Hair,67,"9' 2""",1027,112,110,Y2018
T73,,Roberto Díaz,72,"9' 3""",909,98,87,Y2018
T73,,James Hahn,85,"9' 3""",922.417,100,67,Y2018
T73,,Brian Harman,94,"9' 3""",941.583,102,126,Y2018
T73,,Marc Leishman,93,"9' 3""",1090.333,118,75,Y2018
T73,,Pat Perez,82,"9' 3""",730,79,155,Y2018
T73,,Vaughn Taylor,83,"9' 3""",1112.833,120,62,Y2018
T73,,Xinjun Zhang,81,"9' 3""",889.833,96,95,Y2018
T80,,Blayne Barber,69,"9' 4""",890.417,95,114,Y2018
T80,,Chad Campbell,87,"9' 4""",987.333,106,71,Y2018
T80,,Retief Goosen,60,"9' 4""",484.417,52,124,Y2018
T80,,John Huh,94,"9' 4""",1203.083,129,100,Y2018
T80,,Shane Lowry,64,"9' 4""",719.417,77,181,Y2018
T80,,J.T. Poston,73,"9' 4""",814.333,87,111,Y2018
T80,,Xander Schauffele,96,"9' 4""",1155.083,124,104,Y2018
T80,,Tyrone Van Aswegen,101,"9' 4""",1180.25,127,97,Y2018
T88,,Austin Cook,107,"9' 6""",1378.833,145,28,Y2018
T88,,Derek Fathauer,84,"9' 6""",1055.333,111,163,Y2018
T88,,Hideki Matsuyama,75,"9' 6""",714,75,47,Y2018
T88,,Denny McCarthy,71,"9' 6""",600.833,63,64,Y2018
T88,,Charl Schwartzel,65,"9' 6""",777.583,82,101,Y2018
T88,,Scott Stallings,96,"9' 6""",1208.083,127,45,Y2018
T88,,Jimmy Walker,81,"9' 6""",1108.583,117,74,Y2018
T95,,Bryson DeChambeau,93,"9' 7""",1035.917,108,63,Y2018
T95,,William McGirt,84,"9' 7""",1142.917,119,19,Y2018
T95,,Patrick Rodgers,97,"9' 7""",1052.417,110,119,Y2018
T95,,Harold Varner III,91,"9' 7""",1154.833,120,96,Y2018
T99,,Jim Furyk,50,"9' 8""",617.75,64,21,Y2018
T99,,Zach Johnson,94,"9' 8""",1016.25,105,25,Y2018
T99,,Russell Knox,94,"9' 8""",1034.167,107,70,Y2018
T99,,Rod Pampling,62,"9' 8""",861.583,89,134,Y2018
T99,,C.T. Pan,104,"9' 8""",1037.167,107,128,Y2018
T99,,Scott Piercy,84,"9' 8""",991.75,103,145,Y2018
T105,,Joel Dahmen,93,"9' 9""",1057.083,108,11,Y2018
T105,,Zecheng Dou,53,"9' 9""",587.167,60,191,Y2018
T105,,Whee Kim,93,"9' 9""",1281.583,131,87,Y2018
T105,,Martin Laird,73,"9' 9""",800.667,82,73,Y2018
T105,,Troy Merritt,89,"9' 9""",1300.667,133,107,Y2018
T105,,Martin Piller,79,"9' 9""",1099.917,113,106,Y2018
T105,,Ian Poulter,73,"9' 9""",781.333,80,123,Y2018
T105,,Sam Ryder,82,"9' 9""",898.417,92,139,Y2018
T113,,Cody Gribble,71,"9' 10""",933.583,95,183,Y2018
T113,,Matt Jones,70,"9' 10""",773.75,79,54,Y2018
T113,,Sung Kang,89,"9' 10""",1067.75,109,189,Y2018
T113,,Shawn Stefani,76,"9' 10""",846.333,86,89,Y2018
T113,,Kevin Streelman,94,"9' 10""",1356.333,138,43,Y2018
T113,,Brian Stuard,103,"9' 10""",1272.5,129,72,Y2018
T119,,Harris English,84,"9' 11""",1266.083,128,103,Y2018
T119,,David Hearn,66,"9' 11""",612.667,62,154,Y2018
T121,,Kiradech Aphibarnrat,51,"10' 0""",640.083,64,157,Y2018
T121,,Chesson Hadley,103,"10' 0""",1262.417,126,136,Y2018
T121,,Billy Horschel,86,"10' 0""",972,97,98,Y2018
T121,,Keith Mitchell,99,"10' 0""",1234.917,124,137,Y2018
