RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,% MADE,ATTEMPTS,PUTTS MADE,YEAR
1,,Daniel Summerhays,51,28.38,74,21,Y2018
T2,,Bryson DeChambeau,93,27.45,153,42,Y2018
T2,,Hideki Matsuyama,75,27.45,102,28,Y2018
4,,Tiger Woods,68,27.1,107,29,Y2018
5,,Tyrrell Hatton,58,26.87,67,18,Y2018
6,,Martin Laird,73,26.56,128,34,Y2018
7,,J.J. Spaun,85,26.54,162,43,Y2018
8,,Kiradech Aphibarnrat,51,26.42,53,14,Y2018
9,,Kevin Na,91,25.71,140,36,Y2018
10,,Ricky Barnes,65,25.58,86,22,Y2018
11,,Tom Lovelady,87,25.56,133,34,Y2018
12,,Vaughn Taylor,83,25.16,159,40,Y2018
T13,,Brandt Snedeker,84,25,136,34,Y2018
T13,,Jimmy Walker,81,25,132,33,Y2018
15,,Jason Day,75,24.69,81,20,Y2018
16,,Ben Silverman,90,24.68,154,38,Y2018
17,,Lucas Glover,65,24.44,90,22,Y2018
18,,Phil Mickelson,90,24.43,131,32,Y2018
19,,Conrad Shindler,60,24.21,95,23,Y2018
20,,Billy Horschel,86,23.84,151,36,Y2018
T21,,Kevin Chappell,77,23.53,136,32,Y2018
T21,,Adam Hadwin,92,23.53,119,28,Y2018
T23,,Peter Malnati,87,23.13,147,34,Y2018
T23,,Sam Saunders,80,23.13,134,31,Y2018
25,,Michael Thompson,62,23,100,23,Y2018
26,,Webb Simpson,95,22.93,157,36,Y2018
27,,Anirban Lahiri,82,22.86,140,32,Y2018
28,,Danny Lee,88,22.83,127,29,Y2018
29,,Charl Schwartzel,65,22.78,79,18,Y2018
30,,David Lingmerth,82,22.4,125,28,Y2018
31,,Jason Kokrak,99,22.35,179,40,Y2018
32,,Tommy Fleetwood,73,22.33,103,23,Y2018
33,,Matt Jones,70,22.22,99,22,Y2018
34,,Russell Henley,77,22.05,127,28,Y2018
35,,Ian Poulter,73,22.02,109,24,Y2018
36,,Charley Hoffman,87,21.85,151,33,Y2018
37,,Aaron Wise,90,21.82,165,36,Y2018
T38,,Retief Goosen,60,21.74,69,15,Y2018
T38,,Nick Watney,94,21.74,161,35,Y2018
T40,,Zac Blair,64,21.69,83,18,Y2018
T40,,Greg Chalmers,56,21.69,83,18,Y2018
42,,Chez Reavie,93,21.55,116,25,Y2018
43,,Kelly Kraft,94,21.53,144,31,Y2018
T44,,Sean O'Hair,67,21.37,117,25,Y2018
T44,,J.T. Poston,73,21.37,117,25,Y2018
46,,Matt Every,79,21.36,103,22,Y2018
47,,Ryan Blaum,81,21.31,122,26,Y2018
48,,Patton Kizzire,92,21.29,155,33,Y2018
49,,Chesson Hadley,103,21.26,174,37,Y2018
50,,Jamie Lovemark,92,21.1,109,23,Y2018
T51,,Rickie Fowler,74,21.01,138,29,Y2018
T51,,Seamus Power,86,21.01,119,25,Y2018
53,,Jon Rahm,71,21,100,21,Y2018
54,,Graeme McDowell,67,20.93,86,18,Y2018
55,,Aaron Baddeley,84,20.81,149,31,Y2018
56,,Denny McCarthy,71,20.75,106,22,Y2018
57,,Louis Oosthuizen,62,20.73,82,17,Y2018
58,,D.A. Points,63,20.59,102,21,Y2018
59,,Brian Harman,94,20.57,141,29,Y2018
60,,Billy Hurley III,70,20.54,112,23,Y2018
61,,Alex Cejka,77,20.49,122,25,Y2018
62,,Harris English,84,20.44,137,28,Y2018
63,,Brooks Koepka,64,20.43,93,19,Y2018
64,,Wesley Bryan,69,20.39,103,21,Y2018
65,,Derek Fathauer,84,20.18,109,22,Y2018
66,,Xander Schauffele,96,20.15,134,27,Y2018
T67,,Alex Noren,67,20,90,18,Y2018
T67,,Cameron Smith,85,20,130,26,Y2018
T67,,Tyrone Van Aswegen,101,20,180,36,Y2018
70,,Kevin Tway,110,19.88,166,33,Y2018
71,,Ollie Schniederjans,91,19.86,146,29,Y2018
72,,Kyle Stanley,93,19.85,136,27,Y2018
73,,Michael Kim,74,19.8,101,20,Y2018
74,,Rod Pampling,62,19.78,91,18,Y2018
75,,Johnson Wagner,75,19.77,86,17,Y2018
76,,John Huh,94,19.76,167,33,Y2018
77,,Rob Oppenheim,74,19.67,122,24,Y2018
T78,,Ryan Armour,109,19.49,195,38,Y2018
T78,,J.J. Henry,81,19.49,118,23,Y2018
80,,Brian Gay,103,19.46,185,36,Y2018
81,,Cody Gribble,71,19.44,108,21,Y2018
82,,Jonathan Byrd,70,19.39,98,19,Y2018
T83,,Jonas Blixt,67,19.32,88,17,Y2018
T83,,Branden Grace,67,19.32,88,17,Y2018
85,,Ethan Tracy,72,19.27,109,21,Y2018
86,,Hunter Mahan,67,19.23,104,20,Y2018
87,,Jason Dufner,71,19.19,99,19,Y2018
T88,,Zach Johnson,94,19.08,152,29,Y2018
T88,,Luke List,98,19.08,131,25,Y2018
T90,,Bud Cauley,55,19.05,84,16,Y2018
T90,,Grayson Murray,72,19.05,105,20,Y2018
T90,,Adam Schenk,86,19.05,126,24,Y2018
T93,,Lanto Griffin,80,19.01,121,23,Y2018
T93,,Ryan Palmer,69,19.01,121,23,Y2018
95,,Rafa Cabrera Bello,75,19,100,19,Y2018
T96,,Adam Scott,78,18.85,122,23,Y2018
T96,,Hudson Swafford,73,18.85,122,23,Y2018
98,,Chad Campbell,87,18.8,117,22,Y2018
T99,,Matt Kuchar,88,18.79,149,28,Y2018
T99,,Patrick Rodgers,97,18.79,149,28,Y2018
101,,Keith Mitchell,99,18.71,171,32,Y2018
102,,Charles Howell III,104,18.57,140,26,Y2018
103,,Keegan Bradley,98,18.5,173,32,Y2018
104,,Kevin Kisner,89,18.49,146,27,Y2018
105,,Jonathan Randolph,71,18.45,103,19,Y2018
106,,Jhonattan Vegas,92,18.42,114,21,Y2018
107,,Jim Furyk,50,18.39,87,16,Y2018
108,,Patrick Reed,94,18.26,115,21,Y2018
109,,Andrew Landry,82,18.24,159,29,Y2018
T110,,Ben Crane,65,18.18,88,16,Y2018
T110,,Nicholas Lindheim,77,18.18,121,22,Y2018
T110,,Robert Streb,78,18.18,121,22,Y2018
113,,Brandon Harkins,101,18.08,177,32,Y2018
114,,C.T. Pan,104,18.03,183,33,Y2018
115,,Brian Stuard,103,17.96,167,30,Y2018
116,,Blayne Barber,69,17.95,117,21,Y2018
117,,Martin Piller,79,17.83,129,23,Y2018
118,,Stephan Jaeger,81,17.69,130,23,Y2018
119,,Cameron Percy,56,17.65,85,15,Y2018
120,,Austin Cook,107,17.59,199,35,Y2018
T121,,Emiliano Grillo,94,17.5,160,28,Y2018
T121,,Russell Knox,94,17.5,160,28,Y2018
123,,Rory Sabbatini,91,17.48,143,25,Y2018
124,,Andrew Yun,51,17.46,63,11,Y2018
125,,Harold Varner III,91,17.45,149,26,Y2018
126,,Scott Brown,102,17.44,172,30,Y2018
127,,Shawn Stefani,76,17.39,115,20,Y2018
128,,David Hearn,66,17.36,121,21,Y2018
129,,Pat Perez,82,17.35,98,17,Y2018
130,,Daniel Berger,81,17.29,133,23,Y2018
131,,Brice Garnett,99,17.12,146,25,Y2018
T132,,Chris Kirk,108,17.11,187,32,Y2018
T132,,Sam Ryder,82,17.11,152,26,Y2018
T134,,James Hahn,85,17.05,129,22,Y2018
T134,,Brett Stegmaier,67,17.05,88,15,Y2018
136,,Peter Uihlein,83,16.94,124,21,Y2018
137,,William McGirt,84,16.9,142,24,Y2018
138,,Martin Flores,92,16.79,131,22,Y2018
139,,Si Woo Kim,108,16.78,149,25,Y2018
140,,Robert Garrigus,80,16.67,150,25,Y2018
141,,Sung Kang,89,16.54,127,21,Y2018
142,,Rory McIlroy,64,16.48,91,15,Y2018
143,,Gary Woodland,96,16.46,158,26,Y2018
144,,Marc Leishman,93,16.42,134,22,Y2018
145,,Ben Martin,64,16.39,122,20,Y2018
T146,,"Ted Potter, Jr.",87,16.35,159,26,Y2018
T146,,Xinjun Zhang,81,16.35,104,17,Y2018
148,,Dustin Johnson,77,16.18,136,22,Y2018
149,,Paul Casey,74,16.16,99,16,Y2018
T150,,Mackenzie Hughes,80,16.15,130,21,Y2018
T150,,Scott Stallings,96,16.15,161,26,Y2018
152,,Talor Gooch,78,16.1,118,19,Y2018
153,,Dominic Bozzelli,65,15.97,119,19,Y2018
154,,Shane Lowry,64,15.96,94,15,Y2018
155,,Matt Atkins,56,15.94,69,11,Y2018
156,,Ryan Moore,78,15.91,132,21,Y2018
157,,Cameron Tringale,67,15.84,101,16,Y2018
158,,Abraham Ancer,98,15.7,172,27,Y2018
159,,Roberto Díaz,72,15.69,102,16,Y2018
160,,Kevin Streelman,94,15.59,186,29,Y2018
161,,Whee Kim,93,15.58,154,24,Y2018
162,,Tony Finau,105,15.5,129,20,Y2018
163,,Kyle Thompson,50,15.49,71,11,Y2018
164,,Tom Hoge,101,15.29,170,26,Y2018
165,,Troy Merritt,89,15.27,131,20,Y2018
166,,Bill Haas,76,15.24,105,16,Y2018
167,,Corey Conners,97,15.19,158,24,Y2018
168,,Patrick Cantlay,87,15.17,145,22,Y2018
169,,Justin Thomas,91,15.15,132,20,Y2018
170,,Nick Taylor,94,15.11,139,21,Y2018
171,,Fabián Gómez,88,15.09,159,24,Y2018
172,,Francesco Molinari,73,15.04,133,20,Y2018
173,,Nate Lashley,51,14.86,74,11,Y2018
174,,Bronson Burgoon,69,14.85,101,15,Y2018
175,,Byeong Hun An,86,14.71,136,20,Y2018
176,,Bubba Watson,90,14.69,143,21,Y2018
177,,Scott Piercy,84,14.67,150,22,Y2018
178,,J.B. Holmes,77,14.62,130,19,Y2018
179,,Joel Dahmen,93,14.49,138,20,Y2018
180,,Trey Mullinax,75,14.18,134,19,Y2018
181,,Beau Hossler,104,14.04,171,24,Y2018
182,,Justin Rose,70,14.02,107,15,Y2018
183,,Jordan Spieth,81,13.64,154,21,Y2018
184,,Andrew Putnam,97,13.55,155,21,Y2018
185,,Henrik Stenson,60,13.51,74,10,Y2018
186,,Stewart Cink,87,13.46,156,21,Y2018
T187,,Tyler Duncan,97,12.79,172,22,Y2018
T187,,Satoshi Kodaira,51,12.79,86,11,Y2018
189,,Brendan Steele,74,12.04,108,13,Y2018
190,,Chris Stroud,81,11.76,119,14,Y2018
