RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Louis Oosthuizen,62,"24' 10""",24.83,1,-1,Y2018
2,,Tom Hoge,101,"33' 0""",66,2,-2,Y2018
3,,Robert Streb,78,"41' 10""",167.42,4,-4,Y2018
4,,Andrew Landry,82,"42' 9""",213.58,5,-2,Y2018
5,,Jordan Spieth,81,"43' 10""",131.42,3,-3,Y2018
6,,Andrew Yun,51,"44' 0""",176,4,-3,Y2018
7,,Ryan Palmer,69,"46' 1""",230.5,5,-1,Y2018
8,,Byeong Hun An,86,"51' 7""",206.167,4,-3,Y2018
9,,Steve Wheatcroft,60,"51' 11""",207.67,4,-3,Y2018
10,,Nate Lashley,51,"53' 11""",215.67,4,-4,Y2018
11,,Adam Hadwin,92,"56' 8""",226.667,4,-3,Y2018
12,,Tony Finau,105,"57' 7""",633.5,11,-4,Y2018
13,,Charles Howell III,104,"57' 9""",461.667,8,-5,Y2018
14,,Kiradech Aphibarnrat,51,"58' 1""",116.17,2,-3,Y2018
15,,Keegan Bradley,98,"58' 10""",294.25,5,-3,Y2018
16,,Chez Reavie,93,"59' 5""",237.667,4,-3,Y2018
17,,Brice Garnett,99,"59' 6""",297.33,5,-3,Y2018
18,,Jason Dufner,71,"60' 2""",240.67,4,-1,Y2018
T19,,Kevin Chappell,77,"60' 6""",544.17,9,-5,Y2018
T19,,David Lingmerth,82,"60' 6""",483.67,8,-1,Y2018
21,,Brian Stuard,103,"60' 10""",182.42,3,-1,Y2018
T22,,Dustin Johnson,77,"61' 11""",123.75,2,-2,Y2018
T22,,Alex Noren,67,"61' 11""",556.92,9,-9,Y2018
24,,Wesley Bryan,69,"63' 2""",505.33,8,E,Y2018
25,,Francesco Molinari,73,"63' 3""",316.417,5,E,Y2018
T26,,Ian Poulter,73,"63' 9""",318.58,5,-5,Y2018
T26,,Tiger Woods,68,"63' 9""",637.58,10,-6,Y2018
28,,Branden Grace,67,"64' 1""",576.75,9,-4,Y2018
29,,"Ted Potter, Jr.",87,"64' 4""",192.92,3,-1,Y2018
30,,Luke List,98,"64' 6""",902.67,14,-5,Y2018
T31,,Zecheng Dou,53,"64' 9""",129.42,2,-3,Y2018
T31,,Nick Watney,94,"64' 9""",518.08,8,-7,Y2018
33,,Matt Jones,70,"64' 10""",259.42,4,-1,Y2018
34,,Justin Rose,70,"64' 11""",324.5,5,-3,Y2018
35,,Bryson DeChambeau,93,"65' 2""",260.5,4,-4,Y2018
36,,Rory Sabbatini,91,"66' 8""",266.58,4,-2,Y2018
37,,Xander Schauffele,96,"66' 10""",735.25,11,-2,Y2018
38,,Tyler Duncan,97,"66' 11""",468.25,7,-5,Y2018
39,,Chesson Hadley,103,"67' 0""",469.17,7,-5,Y2018
T40,,Martin Laird,73,"67' 2""",335.67,5,-3,Y2018
T40,,Trey Mullinax,75,"67' 2""",403,6,-7,Y2018
42,,Jonas Blixt,67,"67' 3""",470.5,7,-4,Y2018
43,,Patton Kizzire,92,"67' 4""",538.92,8,-6,Y2018
44,,Hideki Matsuyama,75,"67' 6""",202.5,3,-2,Y2018
45,,Kelly Kraft,94,"69' 0""",344.83,5,E,Y2018
46,,Peter Uihlein,83,"69' 5""",624.5,9,-3,Y2018
47,,Kevin Streelman,94,"69' 7""",626.58,9,-3,Y2018
48,,Stewart Cink,87,"69' 11""",349.58,5,-4,Y2018
49,,Patrick Reed,94,"70' 1""",840.67,12,E,Y2018
50,,Corey Conners,97,"70' 10""",424.92,6,-2,Y2018
51,,Kevin Kisner,89,"71' 3""",356.33,5,-1,Y2018
52,,Nicholas Lindheim,77,"71' 10""",430.83,6,-2,Y2018
53,,Sam Ryder,82,"71' 11""",647.58,9,-4,Y2018
T54,,Bill Haas,76,"72' 1""",576.83,8,-7,Y2018
T54,,William McGirt,84,"72' 1""",576.667,8,-3,Y2018
56,,Talor Gooch,78,"72' 2""",793.833,11,-4,Y2018
57,,Rod Pampling,62,"73' 1""",438.5,6,-2,Y2018
58,,Chris Kirk,108,"73' 3""",952.5,13,-1,Y2018
T59,,Daniel Berger,81,"73' 7""",441.67,6,-3,Y2018
T59,,Kevin Na,91,"73' 7""",661.92,9,-5,Y2018
61,,Bubba Watson,90,"73' 10""",738.5,10,-3,Y2018
62,,Kevin Tway,110,"73' 11""",591.58,8,-4,Y2018
63,,Matt Kuchar,88,"74' 2""",370.75,5,-4,Y2018
64,,Michael Kim,74,"74' 7""",746.083,10,-5,Y2018
65,,Brooks Koepka,64,"74' 8""",373.5,5,-4,Y2018
66,,Austin Cook,107,"74' 10""",299.33,4,-2,Y2018
67,,Mackenzie Hughes,80,"75' 0""",374.83,5,-2,Y2018
68,,Adam Scott,78,"75' 1""",450.5,6,-4,Y2018
69,,Martin Flores,92,"75' 4""",753,10,1,Y2018
70,,Scott Piercy,84,"75' 6""",377.58,5,-3,Y2018
71,,Russell Knox,94,"76' 7""",153.17,2,-2,Y2018
72,,Whee Kim,93,"76' 10""",384.08,5,E,Y2018
73,,Stephan Jaeger,81,"76' 11""",692.08,9,-4,Y2018
74,,Scott Stallings,96,"77' 1""",385.25,5,-4,Y2018
T75,,Bud Cauley,55,"77' 6""",387.42,5,-1,Y2018
T75,,Pat Perez,82,"77' 6""",387.5,5,1,Y2018
77,,Chad Campbell,87,"77' 10""",311.17,4,-2,Y2018
78,,Scott Brown,102,"78' 2""",1016.17,13,-7,Y2018
