WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR,YEAR
1,,Ryan Moore,78,"7' 6""",29.917,4,-1,Y2018
2,,Dominic Bozzelli,65,"7' 10""",39.25,5,E,Y2018
3,,J.J. Henry,81,"12' 2""",24.25,2,-1,Y2018
4,,Rod Pampling,62,"14' 2""",70.75,5,2,Y2018
5,,Tyrrell Hatton,58,"14' 8""",117.417,8,-1,Y2018
6,,Chad Campbell,87,"14' 9""",73.667,5,1,Y2018
7,,Bryson DeChambeau,93,"14' 11""",194.167,13,1,Y2018
8,,Adam Scott,78,"15' 11""",95.25,6,-2,Y2018
9,,James Hahn,85,"16' 3""",146.167,9,3,Y2018
T10,,Ryan Armour,109,"16' 4""",114.083,7,E,Y2018
T10,,Ben Crane,65,"16' 4""",97.75,6,E,Y2018
T10,,Scott Stallings,96,"16' 4""",163.333,10,2,Y2018
13,,D.A. Points,63,"16' 5""",114.917,7,2,Y2018
14,,Brice Garnett,99,"16' 6""",148.417,9,1,Y2018
15,,Austin Cook,107,"16' 7""",232.583,14,2,Y2018
16,,Robert Streb,78,"16' 10""",168,10,3,Y2018
T17,,Stewart Cink,87,"16' 11""",101.333,6,E,Y2018
T17,,C.T. Pan,104,"16' 11""",135.25,8,E,Y2018
19,,Rory Sabbatini,91,"17' 0""",221.417,13,-3,Y2018
T20,,Paul Casey,74,"17' 3""",155.25,9,E,Y2018
T20,,Si Woo Kim,108,"17' 3""",103.667,6,2,Y2018
22,,David Hearn,66,"17' 6""",87.667,5,4,Y2018
23,,Russell Henley,77,"17' 7""",87.75,5,2,Y2018
24,,Andrew Landry,82,"17' 8""",158.833,9,4,Y2018
25,,Keegan Bradley,98,"18' 0""",180.167,10,-1,Y2018
26,,Jonathan Randolph,71,"18' 4""",183.167,10,5,Y2018
27,,Ryan Blaum,81,"18' 5""",221,12,E,Y2018
28,,Nicholas Lindheim,77,"18' 9""",187.083,10,2,Y2018
29,,Ben Silverman,90,"18' 10""",169.417,9,E,Y2018
T30,,Russell Knox,94,"19' 0""",95,5,E,Y2018
T30,,Marc Leishman,93,"19' 0""",342,18,4,Y2018
T30,,Kyle Thompson,50,"19' 0""",75.917,4,E,Y2018
T33,,Jim Furyk,50,"19' 1""",57.333,3,E,Y2018
T33,,Henrik Stenson,60,"19' 1""",76.333,4,E,Y2018
T35,,Keith Mitchell,99,"19' 7""",352.667,18,-3,Y2018
T35,,"Ted Potter, Jr.",87,"19' 7""",254.25,13,-1,Y2018
T37,,Zecheng Dou,53,"20' 2""",201.583,10,-1,Y2018
T37,,Alex Noren,67,"20' 2""",202,10,1,Y2018
T37,,Justin Thomas,91,"20' 2""",181.25,9,-2,Y2018
40,,Matt Kuchar,88,"20' 6""",204.917,10,-1,Y2018
