RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,NUM_SAVES,NUM_BUNKERS,TOTAL_O_U_PAR,YEAR
1,,Ben Crane,65,66,66,100,20,Y2018
2,,Louis Oosthuizen,62,64.29,72,112,25,Y2018
3,,Webb Simpson,95,62.91,95,151,31,Y2018
4,,Jason Day,75,62.5,85,136,32,Y2018
5,,Whee Kim,93,61.82,102,165,37,Y2018
6,,Zac Blair,64,61.63,53,86,24,Y2018
7,,Kevin Na,91,61.49,91,148,30,Y2018
8,,Justin Rose,70,61.16,74,121,22,Y2018
9,,Seamus Power,86,60.94,78,128,29,Y2018
10,,Matt Kuchar,88,60.81,90,148,40,Y2018
11,,Rory Sabbatini,91,60.67,108,178,28,Y2018
12,,Rickie Fowler,74,60.5,72,119,21,Y2018
13,,Rob Oppenheim,74,60,66,110,29,Y2018
14,,Alex Cejka,77,59.35,73,123,34,Y2018
15,,Phil Mickelson,90,58.6,92,157,39,Y2018
16,,Ben Martin,64,57.69,75,130,34,Y2018
17,,D.A. Points,63,57.66,64,111,45,Y2018
18,,Jonathan Byrd,70,57.65,49,85,21,Y2018
19,,Bill Haas,76,57.26,71,124,27,Y2018
20,,Aaron Baddeley,84,57.04,77,135,35,Y2018
21,,Rafa Cabrera Bello,75,56.9,66,116,35,Y2018
22,,Peter Malnati,87,56.69,89,157,57,Y2018
23,,Patrick Reed,94,56.68,106,187,38,Y2018
24,,Brandt Snedeker,84,56.67,85,150,48,Y2018
25,,Cameron Smith,85,56.52,91,161,41,Y2018
26,,Charles Howell III,104,55.76,92,165,45,Y2018
27,,Scott Stallings,96,55.63,89,160,40,Y2018
28,,Danny Lee,88,55.62,99,178,41,Y2018
T29,,Henrik Stenson,60,55.56,40,72,21,Y2018
T29,,Nick Taylor,94,55.56,75,135,38,Y2018
31,,Emiliano Grillo,94,54.84,85,155,40,Y2018
32,,Cameron Percy,56,54.79,40,73,24,Y2018
33,,Tyrrell Hatton,58,54.65,47,86,33,Y2018
34,,J.B. Holmes,77,54.55,84,154,30,Y2018
35,,Paul Casey,74,54.46,55,101,34,Y2018
36,,Bud Cauley,55,54.37,56,103,29,Y2018
37,,Justin Thomas,91,54.29,76,140,27,Y2018
38,,Peter Uihlein,83,54.24,64,118,36,Y2018
