RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,PERC,SUCCESSES,ATTEMPTS,YEAR
1,,Jim Furyk,50,69.83,81,116,Y2018
2,,Ryan Moore,78,68.15,92,135,Y2018
3,,Webb Simpson,95,66.48,119,179,Y2018
4,,Jon Rahm,71,66.38,77,116,Y2018
5,,Rory McIlroy,64,65.6,82,125,Y2018
6,,Brian Gay,103,65.32,145,222,Y2018
7,,Daniel Berger,81,65.22,75,115,Y2018
8,,Alex Cejka,77,65.14,114,175,Y2018
9,,Abraham Ancer,98,64.98,141,217,Y2018
10,,Jamie Lovemark,92,64.46,107,166,Y2018
11,,Ian Poulter,73,64.29,54,84,Y2018
12,,Justin Thomas,91,63.89,92,144,Y2018
13,,Louis Oosthuizen,62,63.81,67,105,Y2018
14,,Daniel Summerhays,51,63.64,84,132,Y2018
15,,Steve Wheatcroft,60,63.36,83,131,Y2018
16,,Chez Reavie,93,63.2,79,125,Y2018
17,,Denny McCarthy,71,63.19,91,144,Y2018
18,,Jordan Spieth,81,63.16,84,133,Y2018
19,,Andrew Putnam,97,63.1,118,187,Y2018
20,,Tyrrell Hatton,58,63.04,58,92,Y2018
21,,Dustin Johnson,77,62.96,85,135,Y2018
22,,Branden Grace,67,62.77,59,94,Y2018
23,,Chris Kirk,108,62.63,124,198,Y2018
24,,Vaughn Taylor,83,62.58,102,163,Y2018
25,,Kevin Kisner,89,62.5,100,160,Y2018
26,,Jhonattan Vegas,92,62.31,124,199,Y2018
27,,Johnson Wagner,75,62.07,90,145,Y2018
28,,Richy Werenski,98,62.01,111,179,Y2018
29,,Martin Piller,79,61.98,150,242,Y2018
30,,Zach Johnson,94,61.84,94,152,Y2018
31,,Si Woo Kim,108,61.68,132,214,Y2018
32,,Tiger Woods,68,61.67,74,120,Y2018
33,,Kevin Streelman,94,61.54,96,156,Y2018
34,,Alex Noren,67,61.46,59,96,Y2018
35,,Brian Stuard,103,61.42,121,197,Y2018
36,,Brice Garnett,99,61.34,119,194,Y2018
37,,Kevin Na,91,61.27,106,173,Y2018
38,,Emiliano Grillo,94,61.15,96,157,Y2018
39,,Austin Cook,107,61.14,140,229,Y2018
40,,Paul Casey,74,60.75,65,107,Y2018
41,,Talor Gooch,78,60.59,103,170,Y2018
42,,Jimmy Walker,81,60.57,106,175,Y2018
43,,Cameron Smith,85,60.56,86,142,Y2018
44,,Joel Dahmen,93,60.51,118,195,Y2018
45,,Adam Hadwin,92,60.29,82,136,Y2018
46,,Tom Hoge,101,60.26,138,229,Y2018
47,,Tyrone Van Aswegen,101,60.21,115,191,Y2018
48,,Matt Kuchar,88,60,78,130,Y2018
49,,Retief Goosen,60,59.84,73,122,Y2018
50,,Conrad Shindler,60,59.48,69,116,Y2018
51,,Bud Cauley,55,59.43,63,106,Y2018
52,,Fabián Gómez,88,59.32,105,177,Y2018
53,,Stewart Cink,87,59.26,96,162,Y2018
54,,Shawn Stefani,76,59.21,90,152,Y2018
55,,Whee Kim,93,59.05,124,210,Y2018
56,,Andrew Landry,82,59.04,111,188,Y2018
57,,Zac Blair,64,58.96,79,134,Y2018
58,,Ollie Schniederjans,91,58.95,112,190,Y2018
59,,Brandt Snedeker,84,58.93,99,168,Y2018
60,,"Ted Potter, Jr.",87,58.85,113,192,Y2018
61,,Lucas Glover,65,58.76,57,97,Y2018
62,,Peter Uihlein,83,58.74,84,143,Y2018
T63,,Keegan Bradley,98,58.65,78,133,Y2018
T63,,Kevin Chappell,77,58.65,78,133,Y2018
65,,Patrick Cantlay,87,58.59,75,128,Y2018
66,,Kiradech Aphibarnrat,51,58.44,45,77,Y2018
67,,Matt Atkins,56,58.41,66,113,Y2018
68,,Chris Stroud,81,58.38,101,173,Y2018
T69,,Anirban Lahiri,82,58.33,98,168,Y2018
T69,,Nate Lashley,51,58.33,63,108,Y2018
T69,,Nick Taylor,94,58.33,91,156,Y2018
72,,David Hearn,66,58.26,67,115,Y2018
73,,Seamus Power,86,58.24,99,170,Y2018
T74,,Byeong Hun An,86,58.02,94,162,Y2018
T74,,Wesley Bryan,69,58.02,76,131,Y2018
T76,,Grayson Murray,72,58,87,150,Y2018
T76,,Henrik Stenson,60,58,29,50,Y2018
78,,Justin Rose,70,57.94,62,107,Y2018
T79,,Jason Day,75,57.84,59,102,Y2018
T79,,Rod Pampling,62,57.84,59,102,Y2018
81,,Beau Hossler,104,57.71,116,201,Y2018
T82,,Blayne Barber,69,57.69,75,130,Y2018
T82,,Martin Laird,73,57.69,75,130,Y2018
84,,Russell Knox,94,57.66,79,137,Y2018
85,,Kyle Stanley,93,57.6,72,125,Y2018
86,,Peter Malnati,87,57.56,118,205,Y2018
87,,Tommy Fleetwood,73,57.55,61,106,Y2018
88,,Jason Dufner,71,57.43,58,101,Y2018
89,,Rory Sabbatini,91,57.31,98,171,Y2018
90,,James Hahn,85,57.24,87,152,Y2018
91,,David Lingmerth,82,57.22,107,187,Y2018
T92,,Danny Lee,88,57.14,100,175,Y2018
T92,,Francesco Molinari,73,57.14,52,91,Y2018
94,,J.J. Spaun,85,57.04,81,142,Y2018
95,,Patton Kizzire,92,57,114,200,Y2018
96,,Dominic Bozzelli,65,56.98,98,172,Y2018
T97,,Chesson Hadley,103,56.91,103,181,Y2018
T97,,Brooks Koepka,64,56.91,70,123,Y2018
T99,,Ryan Armour,109,56.68,106,187,Y2018
T99,,Aaron Wise,90,56.68,106,187,Y2018
T101,,Bryson DeChambeau,93,56.61,107,189,Y2018
T101,,Patrick Reed,94,56.61,107,189,Y2018
103,,Bill Haas,76,56.6,90,159,Y2018
104,,Kelly Kraft,94,56.59,103,182,Y2018
105,,Tyler Duncan,97,56.57,99,175,Y2018
106,,Luke List,98,56.52,104,184,Y2018
107,,Sam Ryder,82,56.49,87,154,Y2018
T108,,Bronson Burgoon,69,56.25,81,144,Y2018
T108,,Rickie Fowler,74,56.25,72,128,Y2018
T108,,William McGirt,84,56.25,81,144,Y2018
111,,Phil Mickelson,90,56.22,104,185,Y2018
112,,Jonathan Byrd,70,56.2,77,137,Y2018
113,,Pat Perez,82,56.1,69,123,Y2018
114,,Rafa Cabrera Bello,75,56.04,51,91,Y2018
115,,Graeme McDowell,67,55.88,57,102,Y2018
T116,,J.B. Holmes,77,55.81,96,172,Y2018
T116,,Rob Oppenheim,74,55.81,96,172,Y2018
118,,Sean O'Hair,67,55.78,82,147,Y2018
119,,Gary Woodland,96,55.77,87,156,Y2018
120,,Harris English,84,55.76,92,165,Y2018
121,,Hunter Mahan,67,55.74,68,122,Y2018
122,,Michael Kim,74,55.63,89,160,Y2018
T123,,Corey Conners,97,55.56,105,189,Y2018
T123,,Marc Leishman,93,55.56,75,135,Y2018
T123,,Ryan Palmer,69,55.56,70,126,Y2018
126,,Ben Crane,65,55.46,66,119,Y2018
127,,Stephan Jaeger,81,55.36,93,168,Y2018
128,,Ethan Tracy,72,55.23,95,172,Y2018
129,,Derek Fathauer,84,55.17,112,203,Y2018
130,,Charley Hoffman,87,55.13,86,156,Y2018
131,,J.T. Poston,73,55.11,97,176,Y2018
132,,Nicholas Lindheim,77,55.06,87,158,Y2018
133,,Ricky Barnes,65,55,77,140,Y2018
134,,Xinjun Zhang,81,54.97,83,151,Y2018
135,,Harold Varner III,91,54.89,101,184,Y2018
136,,Chad Campbell,87,54.86,79,144,Y2018
137,,Bubba Watson,90,54.79,80,146,Y2018
138,,Ben Silverman,90,54.71,93,170,Y2018
139,,Trey Mullinax,75,54.66,88,161,Y2018
140,,Martin Flores,92,54.65,94,172,Y2018
141,,Robert Garrigus,80,54.64,100,183,Y2018
142,,Roberto Díaz,72,54.49,85,156,Y2018
143,,Scott Stallings,96,54.44,98,180,Y2018
144,,Lanto Griffin,80,54.43,86,158,Y2018
145,,Hideki Matsuyama,75,54.37,56,103,Y2018
146,,Jonas Blixt,67,54.2,71,131,Y2018
147,,Aaron Baddeley,84,54.12,92,170,Y2018
148,,Ben Martin,64,54.11,79,146,Y2018
149,,Matt Jones,70,53.96,75,139,Y2018
150,,Ryan Blaum,81,53.94,89,165,Y2018
151,,Billy Horschel,86,53.9,76,141,Y2018
152,,Charles Howell III,104,53.85,84,156,Y2018
153,,Troy Merritt,89,53.81,106,197,Y2018
154,,Russell Henley,77,53.77,57,106,Y2018
T155,,Tony Finau,105,53.64,81,151,Y2018
T155,,Brian Harman,94,53.64,81,151,Y2018
157,,Xander Schauffele,96,53.61,89,166,Y2018
158,,Keith Mitchell,99,53.48,100,187,Y2018
159,,J.J. Henry,81,53.38,79,148,Y2018
160,,Jason Kokrak,99,53.37,87,163,Y2018
161,,Jonathan Randolph,71,53.3,97,182,Y2018
162,,C.T. Pan,104,53.26,98,184,Y2018
163,,Robert Streb,78,53.24,74,139,Y2018
164,,Nick Watney,94,52.94,108,204,Y2018
165,,Mackenzie Hughes,80,52.91,91,172,Y2018
166,,Cody Gribble,71,52.67,79,150,Y2018
167,,Sam Saunders,80,52.63,80,152,Y2018
168,,Sung Kang,89,52.6,101,192,Y2018
169,,Brett Stegmaier,67,52.59,61,116,Y2018
170,,Brendan Steele,74,52.54,62,118,Y2018
171,,Tom Lovelady,87,52.46,96,183,Y2018
172,,Patrick Rodgers,97,52.25,93,178,Y2018
173,,Zecheng Dou,53,52.17,60,115,Y2018
174,,Kevin Tway,110,51.98,105,202,Y2018
175,,D.A. Points,63,51.61,80,155,Y2018
176,,Brandon Harkins,101,51.49,104,202,Y2018
177,,Adam Scott,78,51.09,47,92,Y2018
178,,John Huh,94,50.82,93,183,Y2018
179,,Scott Piercy,84,50.79,64,126,Y2018
180,,Charl Schwartzel,65,50.54,47,93,Y2018
181,,Michael Thompson,62,50.44,57,113,Y2018
T182,,Cameron Percy,56,50,49,98,Y2018
T182,,Adam Schenk,86,50,82,164,Y2018
184,,Billy Hurley III,70,49.69,81,163,Y2018
185,,Scott Brown,102,49.52,103,208,Y2018
186,,Greg Chalmers,56,49.02,75,153,Y2018
187,,Hudson Swafford,73,48.54,50,103,Y2018
188,,Shane Lowry,64,47.46,56,118,Y2018
189,,Kyle Thompson,50,47.41,55,116,Y2018
190,,Matt Every,79,47.25,86,182,Y2018
191,,Andrew Yun,51,46.28,56,121,Y2018
